,session,cluster,phase,mean_hit,mean_miss,ps_hm,mean_go,mean_nogo,ps_tot,mean_falarm,mean_creject,ps_fc
1677,BS_42_4_AC.pickle,29,post early,0.018884120171673822,0.01794871794871795,0.8953572540206872,0.02258064516129032,0.0175,0.3081587371179776,0.027647058823529417,0.01721311475409836,0.14952969130510696
1678,BS_42_4_AC.pickle,36,post early,0.025821596244131457,0.014102564102564105,0.10612683858548891,0.04305177111716622,0.047,0.5649262690335465,0.06688311688311689,0.0680327868852459,0.9173741042707534
1679,BS_42_4_AC.pickle,38,post early,0.07888446215139443,0.057692307692307696,0.16665315664490382,0.09285714285714286,0.052000000000000005,5.547303260857e-05,0.11202185792349727,0.04836065573770492,4.266421521572525e-06
1680,BS_42_4_AC.pickle,40,post early,0.7017777777777778,0.5012820512820513,1.4767163255870071e-05,0.7182989690721651,0.48849999999999993,3.649060680202729e-14,0.7411042944785277,0.48032786885245904,2.9232099952465455e-10
1681,BS_42_4_AC.pickle,41,post early,0.6498007968127489,0.31923076923076926,1.1013040079001531e-14,0.5928571428571427,0.304,6.330487550703317e-26,0.5147540983606558,0.2942622950819673,2.5066031431598796e-10
1682,BS_42_4_AC.pickle,42,post early,0.3729083665338645,0.40512820512820513,0.31043280642939786,0.3405529953917051,0.35550000000000004,0.4391640488339537,0.29617486338797816,0.3237704918032787,0.23145532450116518
1683,BS_42_4_AC.pickle,45,post early,0.15135135135135136,0.24743589743589745,2.193462112829271e-06,0.170873786407767,0.3383838383838384,1.3925663923114494e-22,0.2,0.39749999999999996,1.3715545413077556e-13
1684,BS_42_4_AC.pickle,46,post early,0.028125000000000004,0.041025641025641026,0.15505758892464228,0.03601036269430052,0.0345,0.8114557603523295,0.046913580246913576,0.03032786885245902,0.06909070351246463
1685,BS_42_4_AC.pickle,47,post early,0.036792452830188685,0.007692307692307692,0.0002811996028430788,0.047382920110192836,0.014070351758793974,3.754162782432146e-08,0.06225165562913908,0.018181818181818184,1.7574299810677539e-06
1686,BS_42_4_AC.pickle,48,post early,0.09310344827586209,0.15974025974025974,0.0018145623255521562,0.08090277777777777,0.1530612244897959,8.275102672048825e-08,0.062280701754385964,0.14873949579831935,7.071675960165025e-07
1687,BS_42_4_AC.pickle,50,post early,0.06651982378854625,0.11923076923076924,0.00011120180560407413,0.09056122448979592,0.16,7.302992530496829e-11,0.12363636363636363,0.18606557377049182,7.750199100425079e-05
1688,BS_42_4_AC.pickle,51,post early,0.11434262948207173,0.09487179487179487,0.3353894081587156,0.18640552995391704,0.1295,0.000944417919970721,0.2852459016393442,0.1516393442622951,2.499392629026472e-07
1689,BS_42_4_AC.pickle,52,post early,0.033891213389121336,0.019230769230769235,0.06909092677227774,0.03197115384615385,0.0195,0.011731524055998534,0.02937853107344633,0.019672131147540982,0.11751695610619849
1690,BS_42_4_AC.pickle,57,post early,0.007627118644067797,0.026027397260273977,0.0081575310017732,0.0066298342541436465,0.017934782608695653,0.019024146014653753,0.004761904761904762,0.012612612612612612,0.27205809348172655
1691,BS_42_4_AC.pickle,58,post early,0.0792828685258964,0.07692307692307691,0.8301350162580677,0.06658986175115207,0.0745,0.27553166781970456,0.04918032786885246,0.07295081967213116,0.015095694516987342
1692,BS_42_4_AC.pickle,61,post early,0.09521912350597608,0.10512820512820512,0.41204278575430253,0.11935483870967743,0.19400000000000006,4.179257501320192e-11,0.15245901639344264,0.25081967213114753,2.2359630457284763e-08
1693,BS_42_4_AC.pickle,62,post early,0.01593625498007968,0.02820512820512821,0.03510332570075882,0.021889400921658985,0.0605,1.9245227865011624e-12,0.030054644808743165,0.08114754098360655,1.2675523947968408e-08
1694,BS_42_4_AC.pickle,63,post early,0.005309734513274336,0.0,0.5241922372192859,0.0085,0.002564102564102564,0.31183074088186274,0.012643678160919542,0.003448275862068966,0.29029546984514326
1695,BS_42_4_AC.pickle,65,post early,0.033950617283950615,0.011688311688311689,0.09055373192364008,0.033458646616541354,0.028205128205128206,0.5079528538588465,0.032692307692307694,0.03898305084745762,0.5069870211998325
1696,BS_42_4_AC.pickle,66,post early,0.07894736842105263,0.07142857142857142,0.849810578999999,0.07593123209169055,0.06000000000000001,0.3833217254457225,0.07232704402515723,0.056521739130434796,0.4219668677915529
1697,BS_42_4_AC.pickle,68,post early,0.2759493670886076,0.35000000000000003,0.3363938640068743,0.26902356902356905,0.3,0.45170174429139925,0.26115107913669067,0.2785714285714286,0.7168265662600387
1698,BS_42_4_AC.pickle,69,post early,0.3084967320261438,0.4166666666666667,0.3197826731878265,0.29965034965034965,0.41500000000000004,0.042028257765934,0.2894736842105263,0.4142857142857142,0.052139247687078956
1699,BS_70_11_AC.pickle,14,post late,0.0949367088607595,0.21842105263157902,1.2319838623587669e-06,0.08851851851851852,0.17719298245614037,3.0897797609429195e-09,0.07946428571428572,0.15657894736842104,3.784207370344265e-05
1700,BS_70_11_AC.pickle,15,post late,0.032911392405063286,0.034210526315789476,0.9299461594331974,0.03185185185185185,0.039473684210526314,0.4401207022036733,0.030357142857142857,0.042105263157894736,0.4068866160830221
1701,BS_70_11_AC.pickle,18,post late,0.08481012658227848,0.15263157894736842,0.0011206072076531013,0.07370370370370369,0.13245614035087722,1.6230941603648757e-06,0.05803571428571429,0.12236842105263157,2.7502169018622667e-05
1702,BS_70_11_AC.pickle,23,post late,0.14240506329113925,0.10789473684210528,0.22676440766708386,0.14333333333333334,0.09298245614035086,0.00419753003332324,0.14464285714285713,0.08552631578947367,0.011621456407927788
