,animal,session,cluster ID,phase,condition,FR modulation
333,BS_87,BS_87_4_AC.pickle,45,post early,behaving,5.786163522012576
334,BS_87,BS_87_4_AC.pickle,57,post early,behaving,31.69811320754721
335,BS_87,BS_87_4_AC.pickle,73,post early,behaving,18.3018867924528
336,BS_87,BS_87_4_AC.pickle,74,post early,behaving,7.738478027867095
337,BS_87,BS_87_4_AC.pickle,80,post early,behaving,9.066666666666668
338,BS_87,BS_87_4_AC.pickle,82,post early,behaving,15.297619047619047
339,BS_87,BS_87_4_AC.pickle,115,post early,behaving,28.467309753483388
340,BS_87,BS_87_4_AC.pickle,124,post early,behaving,1.3153153153153143
341,BS_87,BS_87_4_AC.pickle,141,post early,behaving,16.58805031446541
342,BS_87,BS_87_4_AC.pickle,162,post early,behaving,11.132075471698109
343,BS_87,BS_87_4_AC.pickle,172,post early,behaving,7.169811320754737
344,BS_87,BS_87_4_AC.pickle,187,post early,behaving,24.64285714285714
345,BS_87,BS_87_4_AC.pickle,211,post early,behaving,7.844311377245513
346,BS_87,BS_87_4_AC.pickle,219,post early,behaving,6.338797814207649
347,BS_87,BS_87_5_AC.pickle,7,post early,behaving,11.471758154335719
348,BS_87,BS_87_5_AC.pickle,11,post early,behaving,2.9912490055688106
349,BS_87,BS_87_5_AC.pickle,14,post early,behaving,5.218774860779645
350,BS_87,BS_87_5_AC.pickle,35,post early,behaving,3.9140811455847233
351,BS_87,BS_87_5_AC.pickle,37,post early,behaving,3.3731105807478103
352,BS_87,BS_87_5_AC.pickle,47,post early,behaving,10.857699805068227
353,BS_87,BS_87_5_AC.pickle,49,post early,behaving,25.266666666666662
354,BS_87,BS_87_5_AC.pickle,83,post early,behaving,18.806682577565628
355,BS_87,BS_87_5_AC.pickle,87,post early,behaving,17.056483691328552
356,BS_87,BS_87_5_AC.pickle,93,post early,behaving,15.672235481304691
