,animal,session,cluster ID,learning phase,Stim decoding accuracy,FR modulation
236,BS_56,BS_56_3_AC.pickle,10,post expert,0.587398374,1.1333333333333346
237,BS_56,BS_56_3_AC.pickle,13,post expert,0.571961226,0.6666666666666672
238,BS_56,BS_56_3_AC.pickle,20,post expert,0.598222639,0.7500000000000001
239,BS_56,BS_56_3_AC.pickle,35,post expert,0.62542339,4.383333333333336
240,BS_67,BS_67_1_AC.pickle,10,post late,0.58517039,1.9209039548022588
241,BS_67,BS_67_1_AC.pickle,16,post late,0.582944625,4.957264957264958
242,BS_67,BS_67_1_AC.pickle,19,post late,0.632571855,17.858880778588805
243,BS_67,BS_67_1_AC.pickle,55,post late,0.589478387,14.684095860566448
244,BS_67,BS_67_1_AC.pickle,59,post late,0.582937277,7.999999999999997
245,BS_67,BS_67_2_AC.pickle,1,post expert,0.610035422,1.8741633199464525
246,BS_70,BS_70_11_AC.pickle,14,post late,0.570408589,2.55208333333333
247,BS_70,BS_70_11_AC.pickle,18,post late,0.570726906,1.3888888888888886
248,BS_70,BS_70_11_AC.pickle,24,post late,0.620481022,0.8536585365853661
249,BS_70,BS_70_11_AC.pickle,32,post late,0.578311929,3.802083333333332
250,BS_70,BS_70_12_AC.pickle,5,post late,0.579645065,1.5359477124183
251,BS_70,BS_70_12_AC.pickle,6,post late,0.669480871,3.1243781094527345
252,BS_70,BS_70_12_AC.pickle,19,post late,0.703624446,2.0080321285140563
253,BS_70,BS_70_12_AC.pickle,20,post late,0.633519067,2.5120772946859904
254,BS_70,BS_70_13_AC.pickle,18,post expert,0.68436591,5.070785070785068
255,BS_70,BS_70_1_AC.pickle,1,pre late,0.782678447,12.5626204238921
256,BS_70,BS_70_1_AC.pickle,2,pre late,0.680799145,2.303921568627451
257,BS_70,BS_70_1_AC.pickle,13,pre late,0.579582185,35.87668593448939
258,BS_70,BS_70_1_AC.pickle,37,pre late,0.587816265,5.703275529865122
259,BS_70,BS_70_1_AC.pickle,66,pre late,0.688001192,2.54335260115607
260,BS_70,BS_70_1_AC.pickle,69,pre late,0.613267063,3.622350674373795
261,BS_70,BS_70_1_AC.pickle,73,pre late,0.578052411,2.157996146435452
262,BS_70,BS_70_1_AC.pickle,74,pre late,0.57031232,1.0019267822736033
263,BS_70,BS_70_1_AC.pickle,77,pre late,0.575949117,2.3655913978494625
264,BS_70,BS_70_1_AC.pickle,80,pre late,0.611324218,0.6165703275529867
265,BS_70,BS_70_1_AC.pickle,88,pre late,0.673197138,0.6936416184971098
266,BS_70,BS_70_1_AC.pickle,91,pre late,0.585394356,1.618497109826588
267,BS_70,BS_70_1_AC.pickle,127,pre late,0.647330086,4.93256262042389
268,BS_70,BS_70_1_AC.pickle,141,pre late,0.58243944,3.275529865125243
269,BS_70,BS_70_4_AC.pickle,15,switch,0.590365975,1.361361361361362
270,BS_70,BS_70_4_AC.pickle,33,switch,0.5891513,2.682682682682676
271,BS_70,BS_70_5_AC.pickle,0,post early,0.581121085,5.659259259259257
272,BS_70,BS_70_5_AC.pickle,10,post early,0.65212339,8.271872740419377
273,BS_70,BS_70_6_AC.pickle,37,post early,0.614116398,1.9688109161793423
274,BS_70,BS_70_6_AC.pickle,51,post early,0.568493923,1.7329255861365935
275,BS_70,BS_70_6_AC.pickle,68,post early,0.576114918,2.8134556574923537
276,BS_70,BS_70_7_AC.pickle,22,post late,0.67608385,11.711711711711708
277,BS_70,BS_70_7_AC.pickle,45,post late,0.58353444,7.631578947368415
