,animal,session,cluster ID,condition,FR modulation
296,AE_415,AE_415_1_opto_AC.pickle,18,post expert opto,10.218579234972674
297,AE_415,AE_415_1_opto_AC.pickle,20,post expert opto,0.7951070336391436
298,AE_415,AE_415_1_opto_AC.pickle,21,post expert opto,0.9420289855072466
299,AE_415,AE_415_1_opto_AC.pickle,42,post expert opto,7.916666666666667
300,AE_415,AE_415_1_opto_AC.pickle,67,post expert opto,8.98345153664303
301,AE_415,AE_415_1_opto_AC.pickle,85,post expert opto,5.360824742268043
302,AE_415,AE_415_1_opto_AC.pickle,91,post expert opto,2.7633851468048363
303,AE_415,AE_415_1_opto_AC.pickle,102,post expert opto,21.58333333333333
304,AE_415,AE_415_1_opto_AC.pickle,122,post expert opto,1.5602836879432622
305,AE_415,AE_415_1_opto_AC.pickle,128,post expert opto,30.476190476190478
306,AE_415,AE_415_1_opto_AC.pickle,131,post expert opto,7.066666666666667
307,AE_415,AE_415_1_opto_AC.pickle,135,post expert opto,1.6755793226381464
308,AE_415,AE_415_1_opto_AC.pickle,149,post expert opto,10.588235294117647
309,AE_415,AE_415_1_opto_AC.pickle,155,post expert opto,4.808743169398908
310,AE_415,AE_415_2_opto_AC.pickle,22,post expert opto,2.594810379241519
311,AE_415,AE_415_2_opto_AC.pickle,159,post expert opto,2.645502645502645
312,AE_415,AE_415_2_opto_AC.pickle,200,post expert opto,1.7486338797814207
313,AE_415,AE_415_2_opto_AC.pickle,265,post expert opto,4.018264840182648
314,AE_415,AE_415_2_opto_AC.pickle,277,post expert opto,4.269662921348314
315,AE_415,AE_415_2_opto_AC.pickle,291,post expert opto,2.708333333333332
316,AE_415,AE_415_2_opto_AC.pickle,292,post expert opto,0.7944732297063903
317,AE_415,AE_415_2_opto_AC.pickle,293,post expert opto,12.374727668845312
318,AE_415,AE_415_2_opto_AC.pickle,295,post expert opto,7.352024922118377
319,AE_415,AE_415_2_opto_AC.pickle,296,post expert opto,4.1228070175438605
320,AE_415,AE_415_3_opto_AC.pickle,26,post expert opto,1.3750000000000004
321,AE_415,AE_415_3_opto_AC.pickle,44,post expert opto,3.497267759562842
322,AE_415,AE_415_3_opto_AC.pickle,47,post expert opto,0.888888888888889
323,AE_415,AE_415_3_opto_AC.pickle,55,post expert opto,1.8867924528301887
324,AE_415,AE_415_3_opto_AC.pickle,59,post expert opto,2.3853211009174315
325,AE_435,AE_435_1_opto_control_AC.pickle,8,pre expert control,0.6853582554517135
326,AE_435,AE_435_1_opto_control_AC.pickle,14,pre expert control,5.490196078431379
327,AE_435,AE_435_1_opto_control_AC.pickle,43,pre expert control,1.8666666666666674
328,AE_435,AE_435_1_opto_control_AC.pickle,46,pre expert control,17.843137254901965
329,AE_435,AE_435_1_opto_control_AC.pickle,56,pre expert control,4.999999999999997
330,AE_435,AE_435_1_opto_control_AC.pickle,78,pre expert control,3.856209150326797
